1773407569.021048 server started (23994): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1773407569.021069 on Darwin 25.3.0 Darwin Kernel Version 25.3.0: Wed Jan 28 20:54:46 PST 2026; root:xnu-12377.91.3~2/RELEASE_ARM64_T6000
1773407569.021074 using libevent 2.1.12-stable select
1773407569.021081 using utf8proc 2.11.3
1773407569.021085 using ncurses 6.5 20240427
1773407569.032093 args_parse: flags end at 2 of 2
1773407569.032096 cmd_parse_build_commands: swap-window -t :+1
1773407569.032099 cmd_parse_build_commands 0:0: swap-window
1773407569.032103 args_parse: flags end at 1 of 1
1773407569.032105 cmd_parse_build_commands: swap-window
1773407569.032108 cmd_parse_build_commands 0:0: kill-window
1773407569.032111 args_parse: flags end at 1 of 1
1773407569.032114 cmd_parse_build_commands: kill-window
1773407569.032117 cmd_parse_build_commands 0:0: respawn-window
1773407569.032119 cmd_parse_build_commands 0:1: -k
1773407569.032123 args_parse_flags: next -k
1773407569.032125 args_parse_flags: -k
1773407569.032127 args_parse: flags end at 2 of 2
1773407569.032131 cmd_parse_build_commands: respawn-window -k
1773407569.032134 cmd_parse_build_commands 0:0: select-pane
1773407569.032136 cmd_parse_build_commands 0:1: -m
1773407569.032139 args_parse_flags: next -m
1773407569.032142 args_parse_flags: -m
1773407569.032145 args_parse: flags end at 2 of 2
1773407569.032148 cmd_parse_build_commands: select-pane -m
1773407569.032152 cmd_parse_build_commands 0:0: command-prompt
1773407569.032154 cmd_parse_build_commands 0:1: -FI
1773407569.032156 cmd_parse_build_commands 0:2: #W
1773407569.032159 cmd_parse_build_commands 0:3 0:0: rename-window
1773407569.032161 cmd_parse_build_commands 0:3 0:1: -t
1773407569.032164 cmd_parse_build_commands 0:3 0:2: #{window_id}
1773407569.032166 cmd_parse_build_commands 0:3 0:3: --
1773407569.032168 cmd_parse_build_commands 0:3 0:4: %%
1773407569.032171 cmd_parse_build_commands 0:0: rename-window
1773407569.032177 cmd_parse_build_commands 0:1: -t
1773407569.032180 cmd_parse_build_commands 0:2: #{window_id}
1773407569.032182 cmd_parse_build_commands 0:3: --
1773407569.032184 cmd_parse_build_commands 0:4: %%
1773407569.032188 args_parse_flags: next -t
1773407569.032190 args_parse_flag_argument: -t = #{window_id}
1773407569.032193 args_parse_flags: next --
1773407569.032195 args_parse: flags end at 4 of 5
1773407569.032197 args_parse: 4 = %% (type STRING)
1773407569.032202 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1773407569.032205 args_parse_flags: next -FI
1773407569.032208 args_parse_flags: -F
1773407569.032211 args_parse_flag_argument: -I = #W
1773407569.032213 args_parse: flags end at 3 of 4
1773407569.032217 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1773407569.032223 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1773407569.032232 cmd_parse_build_commands 0:0: new-window
1773407569.032236 cmd_parse_build_commands 0:1: -a
1773407569.032239 args_parse_flags: next -a
1773407569.032242 args_parse_flags: -a
1773407569.032246 args_parse: flags end at 2 of 2
1773407569.032249 cmd_parse_build_commands: new-window -a
1773407569.032253 cmd_parse_build_commands 0:0: new-window
1773407569.032256 args_parse: flags end at 1 of 1
1773407569.032259 cmd_parse_build_commands: new-window
1773407569.032263 args_parse_flags: next -xW
1773407569.032268 args_parse_flag_argument: -x = W
1773407569.032270 args_parse_flags: next -yW
1773407569.032274 args_parse_flag_argument: -y = W
1773407569.032277 args_parse_flags: next -T
1773407569.032279 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1773407569.032304 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1773407569.032336 args_parse: flags end at 5 of 34
1773407569.032345 args_parse: 5 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1773407569.032381 args_parse: 6 = l (type STRING)
1773407569.032395 args_parse: 7 = swap-window -t :-1 (type COMMANDS)
1773407569.032402 args_parse: 8 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1773407569.032408 args_parse: 9 = r (type STRING)
1773407569.032417 args_parse: 10 = swap-window -t :+1 (type COMMANDS)
1773407569.032424 args_parse: 11 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1773407569.032430 args_parse: 12 = s (type STRING)
1773407569.032438 args_parse: 13 = swap-window (type COMMANDS)
1773407569.032446 args_parse: 14 =  (type STRING)
1773407569.032452 args_parse: 15 = Kill (type STRING)
1773407569.032457 args_parse: 16 = X (type STRING)
1773407569.032463 args_parse: 17 = kill-window (type COMMANDS)
1773407569.032469 args_parse: 18 = Respawn (type STRING)
1773407569.032474 args_parse: 19 = R (type STRING)
1773407569.032481 args_parse: 20 = respawn-window -k (type COMMANDS)
1773407569.032487 args_parse: 21 = #{?pane_marked,Unmark,Mark} (type STRING)
1773407569.032493 args_parse: 22 = m (type STRING)
1773407569.032499 args_parse: 23 = select-pane -m (type COMMANDS)
1773407569.032504 args_parse: 24 = Rename (type STRING)
1773407569.032509 args_parse: 25 = n (type STRING)
1773407569.032524 args_parse: 26 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1773407569.032530 args_parse: 27 =  (type STRING)
1773407569.032535 args_parse: 28 = New After (type STRING)
1773407569.032540 args_parse: 29 = w (type STRING)
1773407569.032547 args_parse: 30 = new-window -a (type COMMANDS)
1773407569.032553 args_parse: 31 = New At End (type STRING)
1773407569.032559 args_parse: 32 = W (type STRING)
1773407569.032565 args_parse: 33 = new-window (type COMMANDS)
1773407569.032635 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1773407569.032664 args_parse_flags: next -N
1773407569.032670 args_parse_flag_argument: -N = Display window menu
1773407569.032677 args_parse_flags: next <
1773407569.032683 args_parse: flags end at 3 of 5
1773407569.032688 args_parse: 3 = < (type STRING)
1773407569.032746 args_parse: 4 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1773407569.032806 cmd_parse_build_commands: bind-key -N "Display window menu" < { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1773407569.032820 cmdq_get_command: [bind-key/0x99d844f00] group 710
1773407569.032826 cmdq_append <global>: [bind-key/0x99d844f00]
1773407569.032834 yylex_token: end at WS
1773407569.032838 yylex_token: bind
1773407569.032847 yylex_token: end at WS
1773407569.032852 yylex_token: -N
1773407569.032858 yylex_token: end at WS
1773407569.032863 yylex_token: Display pane menu
1773407569.032868 yylex_token: end at WS
1773407569.032873 yylex_token: >
1773407569.032879 yylex_token: end at WS
1773407569.032884 yylex_token: display-menu
1773407569.032889 yylex_token: end at WS
1773407569.032893 yylex_token: -xP
1773407569.032898 yylex_token: end at WS
1773407569.032903 yylex_token: -yP
1773407569.032907 yylex_token: end at WS
1773407569.032912 yylex_token: -T
1773407569.032920 yylex_token: end at WS
1773407569.032926 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1773407569.032934 yylex_token: end at WS
1773407569.032940 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1773407569.032945 yylex_token: end at WS
1773407569.032949 yylex_token: <
1773407569.032954 yylex_token: end at WS
1773407569.032959 yylex_token: send
1773407569.032963 yylex_token: end at WS
1773407569.032968 yylex_token: -X
1773407569.032974 yylex_token: end at }
1773407569.032978 yylex_token: history-top
1773407569.032988 yylex_token: end at WS
1773407569.032993 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1773407569.032999 yylex_token: end at WS
1773407569.033003 yylex_token: >
1773407569.033009 yylex_token: end at WS
1773407569.033017 yylex_token: send
1773407569.033021 yylex_token: end at WS
1773407569.033026 yylex_token: -X
1773407569.033032 yylex_token: end at }
1773407569.033037 yylex_token: history-bottom
1773407569.033043 yylex_token: end at WS
1773407569.033048 yylex_token: 
1773407569.033058 yylex_token: end at WS
1773407569.033063 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1773407569.033069 yylex_token: end at WS
1773407569.033074 yylex_token: C-r
1773407569.033081 yylex_token: end at WS
1773407569.033086 yylex_token: if
1773407569.033092 yylex_token: end at WS
1773407569.033097 yylex_token: -F
1773407569.033105 yylex_token: end at WS
1773407569.033111 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1773407569.033117 yylex_token: end at ;
1773407569.033123 yylex_token: copy-mode -t=
1773407569.033129 yylex_token: end at WS
1773407569.033133 yylex_token: send
1773407569.033138 yylex_token: end at WS
1773407569.033152 yylex_token: -Xt=
1773407569.033159 yylex_token: end at WS
1773407569.033164 yylex_token: search-backward
1773407569.033169 yylex_token: end at WS
1773407569.033174 yylex_token: --
1773407569.033180 yylex_token: end at }
1773407569.033184 yylex_token: #{q:mouse_word}
1773407569.033193 yylex_token: end at WS
1773407569.033198 yylex_token: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1773407569.033203 yylex_token: end at WS
1773407569.033208 yylex_token: C-y
1773407569.033214 yylex_token: end at WS
1773407569.033218 yylex_token: copy-mode
1773407569.033224 yylex_token: end at ;
1773407569.033229 yylex_token: -q
1773407569.033235 yylex_token: end at WS
1773407569.033241 yylex_token: send-keys
1773407569.033246 yylex_token: end at WS
1773407569.033251 yylex_token: -l
1773407569.033256 yylex_token: end at WS
1773407569.033262 yylex_token: --
1773407569.033269 yylex_token: end at }
1773407569.033275 yylex_token: #{q:mouse_word}
1773407569.033285 yylex_token: end at WS
1773407569.033290 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1773407569.033296 yylex_token: end at WS
1773407569.033302 yylex_token: c
1773407569.033311 yylex_token: end at WS
1773407569.033317 yylex_token: copy-mode
1773407569.033323 yylex_token: end at ;
1773407569.033328 yylex_token: -q
1773407569.033334 yylex_token: end at WS
1773407569.033339 yylex_token: set-buffer
1773407569.033345 yylex_token: end at WS
1773407569.033351 yylex_token: --
1773407569.033357 yylex_token: end at }
1773407569.033361 yylex_token: #{q:mouse_word}
1773407569.033368 yylex_token: end at WS
1773407569.033373 yylex_token: #{?mouse_line,Copy Line,}
1773407569.033378 yylex_token: end at WS
1773407569.033383 yylex_token: l
1773407569.033389 yylex_token: end at WS
1773407569.033393 yylex_token: copy-mode
1773407569.033398 yylex_token: end at ;
1773407569.033402 yylex_token: -q
1773407569.033408 yylex_token: end at WS
1773407569.033412 yylex_token: set-buffer
1773407569.033417 yylex_token: end at WS
1773407569.033421 yylex_token: --
1773407569.033427 yylex_token: end at }
1773407569.033431 yylex_token: #{q:mouse_line}
1773407569.033436 yylex_token: end at WS
1773407569.033441 yylex_token: 
1773407569.033449 yylex_token: end at WS
1773407569.033454 yylex_token: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1773407569.033459 yylex_token: end at WS
1773407569.033464 yylex_token: C-h
1773407569.033469 yylex_token: end at WS
1773407569.033474 yylex_token: copy-mode
1773407569.033478 yylex_token: end at ;
1773407569.033483 yylex_token: -q
1773407569.033488 yylex_token: end at WS
1773407569.033493 yylex_token: send-keys
1773407569.033498 yylex_token: end at WS
1773407569.033502 yylex_token: -l
1773407569.033507 yylex_token: end at WS
1773407569.033511 yylex_token: --
1773407569.033517 yylex_token: end at }
1773407569.033522 yylex_token: #{q:mouse_hyperlink}
1773407569.033531 yylex_token: end at WS
1773407569.033536 yylex_token: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1773407569.033541 yylex_token: end at WS
1773407569.033545 yylex_token: h
1773407569.033550 yylex_token: end at WS
1773407569.033555 yylex_token: copy-mode
1773407569.033560 yylex_token: end at ;
1773407569.033564 yylex_token: -q
1773407569.033578 yylex_token: end at WS
1773407569.033582 yylex_token: set-buffer
1773407569.033587 yylex_token: end at WS
1773407569.033592 yylex_token: --
1773407569.033598 yylex_token: end at }
1773407569.033603 yylex_token: #{q:mouse_hyperlink}
1773407569.033608 yylex_token: end at WS
1773407569.033613 yylex_token: 
1773407569.033619 yylex_token: end at WS
1773407569.033628 yylex_token: Horizontal Split
1773407569.033633 yylex_token: end at WS
1773407569.033638 yylex_token: h
1773407569.033646 yylex_token: end at WS
1773407569.033651 yylex_token: split-window
1773407569.033655 yylex_token: end at }
1773407569.033661 yylex_token: -h
1773407569.033668 yylex_token: end at WS
1773407569.033674 yylex_token: Vertical Split
1773407569.033679 yylex_token: end at WS
1773407569.033684 yylex_token: v
1773407569.033691 yylex_token: end at WS
1773407569.033710 yylex_token: split-window
1773407569.033716 yylex_token: end at }
1773407569.033722 yylex_token: -v
1773407569.033728 yylex_token: end at WS
1773407569.033734 yylex_token: 
1773407569.033741 yylex_token: end at WS
1773407569.033747 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Up
1773407569.033752 yylex_token: end at WS
1773407569.033756 yylex_token: u
1773407569.033761 yylex_token: end at WS
1773407569.033766 yylex_token: swap-pane
1773407569.033771 yylex_token: end at }
1773407569.033775 yylex_token: -U
1773407569.033783 yylex_token: end at WS
1773407569.033787 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Down
1773407569.033793 yylex_token: end at WS
1773407569.033797 yylex_token: d
1773407569.033802 yylex_token: end at WS
1773407569.033807 yylex_token: swap-pane
1773407569.033812 yylex_token: end at }
1773407569.033817 yylex_token: -D
1773407569.033825 yylex_token: end at WS
1773407569.033832 yylex_token: #{?pane_marked_set,,-}Swap Marked
1773407569.033837 yylex_token: end at WS
1773407569.033841 yylex_token: s
1773407569.033847 yylex_token: end at }
1773407569.033851 yylex_token: swap-pane
1773407569.033856 yylex_token: end at WS
1773407569.033860 yylex_token: 
1773407569.033865 yylex_token: end at WS
1773407569.033870 yylex_token: Kill
1773407569.033874 yylex_token: end at WS
1773407569.033879 yylex_token: X
1773407569.033884 yylex_token: end at }
1773407569.033889 yylex_token: kill-pane
1773407569.033894 yylex_token: end at WS
1773407569.033899 yylex_token: Respawn
1773407569.033904 yylex_token: end at WS
1773407569.033908 yylex_token: R
1773407569.033914 yylex_token: end at WS
1773407569.033920 yylex_token: respawn-pane
1773407569.033927 yylex_token: end at }
1773407569.033932 yylex_token: -k
1773407569.033940 yylex_token: end at WS
1773407569.033946 yylex_token: #{?pane_marked,Unmark,Mark}
1773407569.033952 yylex_token: end at WS
1773407569.033957 yylex_token: m
1773407569.033964 yylex_token: end at WS
1773407569.033970 yylex_token: select-pane
1773407569.033975 yylex_token: end at }
1773407569.033981 yylex_token: -m
1773407569.033991 yylex_token: end at WS
1773407569.033997 yylex_token: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1773407569.034003 yylex_token: end at WS
1773407569.034010 yylex_token: z
1773407569.034017 yylex_token: end at WS
1773407569.034022 yylex_token: resize-pane
1773407569.034031 yylex_token: end at }
1773407569.034036 yylex_token: -Z
1773407569.034046 cmd_parse_build_commands 0:0: bind
1773407569.034052 cmd_parse_build_commands 0:1: -N
1773407569.034058 cmd_parse_build_commands 0:2: Display pane menu
1773407569.034063 cmd_parse_build_commands 0:3: >
1773407569.034069 cmd_parse_build_commands 0:4 0:0: display-menu
1773407569.034074 cmd_parse_build_commands 0:4 0:1: -xP
1773407569.034079 cmd_parse_build_commands 0:4 0:2: -yP
1773407569.034083 cmd_parse_build_commands 0:4 0:3: -T
1773407569.034088 cmd_parse_build_commands 0:4 0:4: #[align=centre]#{pane_index} (#{pane_id})
1773407569.034094 cmd_parse_build_commands 0:4 0:5: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1773407569.034099 cmd_parse_build_commands 0:4 0:6: <
1773407569.034104 cmd_parse_build_commands 0:4 0:7 0:0: send
1773407569.034109 cmd_parse_build_commands 0:4 0:7 0:1: -X
1773407569.034114 cmd_parse_build_commands 0:4 0:7 0:2: history-top
1773407569.034119 cmd_parse_build_commands 0:4 0:8: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1773407569.034124 cmd_parse_build_commands 0:4 0:9: >
1773407569.034129 cmd_parse_build_commands 0:4 0:10 0:0: send
1773407569.034134 cmd_parse_build_commands 0:4 0:10 0:1: -X
1773407569.034139 cmd_parse_build_commands 0:4 0:10 0:2: history-bottom
1773407569.034144 cmd_parse_build_commands 0:4 0:11: 
1773407569.034150 cmd_parse_build_commands 0:4 0:12: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1773407569.034155 cmd_parse_build_commands 0:4 0:13: C-r
1773407569.034161 cmd_parse_build_commands 0:4 0:14 0:0: if
1773407569.034166 cmd_parse_build_commands 0:4 0:14 0:1: -F
1773407569.034173 cmd_parse_build_commands 0:4 0:14 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1773407569.034187 cmd_parse_build_commands 0:4 0:14 0:3: copy-mode -t=
1773407569.034192 cmd_parse_build_commands 0:4 0:14 1:0: send
1773407569.034198 cmd_parse_build_commands 0:4 0:14 1:1: -Xt=
1773407569.034203 cmd_parse_build_commands 0:4 0:14 1:2: search-backward
1773407569.034208 cmd_parse_build_commands 0:4 0:14 1:3: --
1773407569.034213 cmd_parse_build_commands 0:4 0:14 1:4: #{q:mouse_word}
1773407569.034219 cmd_parse_build_commands 0:4 0:15: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1773407569.034225 cmd_parse_build_commands 0:4 0:16: C-y
1773407569.034230 cmd_parse_build_commands 0:4 0:17 0:0: copy-mode
1773407569.034236 cmd_parse_build_commands 0:4 0:17 0:1: -q
1773407569.034241 cmd_parse_build_commands 0:4 0:17 1:0: send-keys
1773407569.034245 cmd_parse_build_commands 0:4 0:17 1:1: -l
1773407569.034250 cmd_parse_build_commands 0:4 0:17 1:2: --
1773407569.034255 cmd_parse_build_commands 0:4 0:17 1:3: #{q:mouse_word}
1773407569.034260 cmd_parse_build_commands 0:4 0:18: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1773407569.034265 cmd_parse_build_commands 0:4 0:19: c
1773407569.034270 cmd_parse_build_commands 0:4 0:20 0:0: copy-mode
1773407569.034275 cmd_parse_build_commands 0:4 0:20 0:1: -q
1773407569.034279 cmd_parse_build_commands 0:4 0:20 1:0: set-buffer
1773407569.034284 cmd_parse_build_commands 0:4 0:20 1:1: --
1773407569.034289 cmd_parse_build_commands 0:4 0:20 1:2: #{q:mouse_word}
1773407569.034294 cmd_parse_build_commands 0:4 0:21: #{?mouse_line,Copy Line,}
1773407569.034299 cmd_parse_build_commands 0:4 0:22: l
1773407569.034304 cmd_parse_build_commands 0:4 0:23 0:0: copy-mode
1773407569.034309 cmd_parse_build_commands 0:4 0:23 0:1: -q
1773407569.034314 cmd_parse_build_commands 0:4 0:23 1:0: set-buffer
1773407569.034319 cmd_parse_build_commands 0:4 0:23 1:1: --
1773407569.034323 cmd_parse_build_commands 0:4 0:23 1:2: #{q:mouse_line}
1773407569.034328 cmd_parse_build_commands 0:4 0:24: 
1773407569.034334 cmd_parse_build_commands 0:4 0:25: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1773407569.034338 cmd_parse_build_commands 0:4 0:26: C-h
1773407569.034344 cmd_parse_build_commands 0:4 0:27 0:0: copy-mode
1773407569.034349 cmd_parse_build_commands 0:4 0:27 0:1: -q
1773407569.034353 cmd_parse_build_commands 0:4 0:27 1:0: send-keys
1773407569.034358 cmd_parse_build_commands 0:4 0:27 1:1: -l
1773407569.034363 cmd_parse_build_commands 0:4 0:27 1:2: --
1773407569.034368 cmd_parse_build_commands 0:4 0:27 1:3: #{q:mouse_hyperlink}
1773407569.034378 cmd_parse_build_commands 0:4 0:28: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1773407569.034383 cmd_parse_build_commands 0:4 0:29: h
1773407569.034389 cmd_parse_build_commands 0:4 0:30 0:0: copy-mode
1773407569.034394 cmd_parse_build_commands 0:4 0:30 0:1: -q
1773407569.034400 cmd_parse_build_commands 0:4 0:30 1:0: set-buffer
1773407569.034407 cmd_parse_build_commands 0:4 0:30 1:1: --
1773407569.034413 cmd_parse_build_commands 0:4 0:30 1:2: #{q:mouse_hyperlink}
1773407569.034419 cmd_parse_build_commands 0:4 0:31: 
1773407569.034427 cmd_parse_build_commands 0:4 0:32: Horizontal Split
1773407569.034433 cmd_parse_build_commands 0:4 0:33: h
1773407569.034438 cmd_parse_build_commands 0:4 0:34 0:0: split-window
1773407569.034444 cmd_parse_build_commands 0:4 0:34 0:1: -h
1773407569.034449 cmd_parse_build_commands 0:4 0:35: Vertical Split
1773407569.034455 cmd_parse_build_commands 0:4 0:36: v
1773407569.034461 cmd_parse_build_commands 0:4 0:37 0:0: split-window
1773407569.034468 cmd_parse_build_commands 0:4 0:37 0:1: -v
1773407569.034474 cmd_parse_build_commands 0:4 0:38: 
1773407569.034481 cmd_parse_build_commands 0:4 0:39: #{?#{>:#{window_panes},1},,-}Swap Up
1773407569.034487 cmd_parse_build_commands 0:4 0:40: u
1773407569.034492 cmd_parse_build_commands 0:4 0:41 0:0: swap-pane
1773407569.034498 cmd_parse_build_commands 0:4 0:41 0:1: -U
1773407569.034505 cmd_parse_build_commands 0:4 0:42: #{?#{>:#{window_panes},1},,-}Swap Down
1773407569.034523 cmd_parse_build_commands 0:4 0:43: d
1773407569.034529 cmd_parse_build_commands 0:4 0:44 0:0: swap-pane
1773407569.034535 cmd_parse_build_commands 0:4 0:44 0:1: -D
1773407569.034542 cmd_parse_build_commands 0:4 0:45: #{?pane_marked_set,,-}Swap Marked
1773407569.034548 cmd_parse_build_commands 0:4 0:46: s
1773407569.034554 cmd_parse_build_commands 0:4 0:47 0:0: swap-pane
1773407569.034560 cmd_parse_build_commands 0:4 0:48: 
1773407569.034566 cmd_parse_build_commands 0:4 0:49: Kill
1773407569.034573 cmd_parse_build_commands 0:4 0:50: X
1773407569.034579 cmd_parse_build_commands 0:4 0:51 0:0: kill-pane
1773407569.034584 cmd_parse_build_commands 0:4 0:52: Respawn
1773407569.034591 cmd_parse_build_commands 0:4 0:53: R
1773407569.034597 cmd_parse_build_commands 0:4 0:54 0:0: respawn-pane
1773407569.034603 cmd_parse_build_commands 0:4 0:54 0:1: -k
1773407569.034609 cmd_parse_build_commands 0:4 0:55: #{?pane_marked,Unmark,Mark}
1773407569.034615 cmd_parse_build_commands 0:4 0:56: m
1773407569.034622 cmd_parse_build_commands 0:4 0:57 0:0: select-pane
1773407569.034626 cmd_parse_build_commands 0:4 0:57 0:1: -m
1773407569.034633 cmd_parse_build_commands 0:4 0:58: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1773407569.034637 cmd_parse_build_commands 0:4 0:59: z
1773407569.034643 cmd_parse_build_commands 0:4 0:60 0:0: resize-pane
1773407569.034647 cmd_parse_build_commands 0:4 0:60 0:1: -Z
1773407569.034658 cmd_parse_build_commands 0:0: display-menu
1773407569.034663 cmd_parse_build_commands 0:1: -xP
1773407569.034668 cmd_parse_build_commands 0:2: -yP
1773407569.034672 cmd_parse_build_commands 0:3: -T
1773407569.034678 cmd_parse_build_commands 0:4: #[align=centre]#{pane_index} (#{pane_id})
1773407569.034683 cmd_parse_build_commands 0:5: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1773407569.034687 cmd_parse_build_commands 0:6: <
1773407569.034693 cmd_parse_build_commands 0:7 0:0: send
1773407569.034697 cmd_parse_build_commands 0:7 0:1: -X
1773407569.034702 cmd_parse_build_commands 0:7 0:2: history-top
1773407569.034707 cmd_parse_build_commands 0:8: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1773407569.034712 cmd_parse_build_commands 0:9: >
1773407569.034717 cmd_parse_build_commands 0:10 0:0: send
1773407569.034722 cmd_parse_build_commands 0:10 0:1: -X
1773407569.034726 cmd_parse_build_commands 0:10 0:2: history-bottom
1773407569.034731 cmd_parse_build_commands 0:11: 
1773407569.034736 cmd_parse_build_commands 0:12: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1773407569.034741 cmd_parse_build_commands 0:13: C-r
1773407569.034746 cmd_parse_build_commands 0:14 0:0: if
1773407569.034751 cmd_parse_build_commands 0:14 0:1: -F
1773407569.034756 cmd_parse_build_commands 0:14 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1773407569.034761 cmd_parse_build_commands 0:14 0:3: copy-mode -t=
1773407569.034766 cmd_parse_build_commands 0:14 1:0: send
1773407569.034770 cmd_parse_build_commands 0:14 1:1: -Xt=
1773407569.034775 cmd_parse_build_commands 0:14 1:2: search-backward
1773407569.034780 cmd_parse_build_commands 0:14 1:3: --
1773407569.034784 cmd_parse_build_commands 0:14 1:4: #{q:mouse_word}
1773407569.034790 cmd_parse_build_commands 0:15: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1773407569.034794 cmd_parse_build_commands 0:16: C-y
1773407569.034800 cmd_parse_build_commands 0:17 0:0: copy-mode
1773407569.034805 cmd_parse_build_commands 0:17 0:1: -q
1773407569.034809 cmd_parse_build_commands 0:17 1:0: send-keys
1773407569.034814 cmd_parse_build_commands 0:17 1:1: -l
1773407569.034819 cmd_parse_build_commands 0:17 1:2: --
1773407569.034825 cmd_parse_build_commands 0:17 1:3: #{q:mouse_word}
1773407569.034833 cmd_parse_build_commands 0:18: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1773407569.034839 cmd_parse_build_commands 0:19: c
1773407569.034845 cmd_parse_build_commands 0:20 0:0: copy-mode
1773407569.034851 cmd_parse_build_commands 0:20 0:1: -q
1773407569.034857 cmd_parse_build_commands 0:20 1:0: set-buffer
1773407569.034863 cmd_parse_build_commands 0:20 1:1: --
1773407569.034882 cmd_parse_build_commands 0:20 1:2: #{q:mouse_word}
1773407569.034889 cmd_parse_build_commands 0:21: #{?mouse_line,Copy Line,}
1773407569.034895 cmd_parse_build_commands 0:22: l
1773407569.034900 cmd_parse_build_commands 0:23 0:0: copy-mode
1773407569.034905 cmd_parse_build_commands 0:23 0:1: -q
1773407569.034910 cmd_parse_build_commands 0:23 1:0: set-buffer
1773407569.034915 cmd_parse_build_commands 0:23 1:1: --
1773407569.034920 cmd_parse_build_commands 0:23 1:2: #{q:mouse_line}
1773407569.034924 cmd_parse_build_commands 0:24: 
